Scenario ID,Type,Scenario Name,Description,KPI ID,Impact Type,Impact Value,Plausibility,Severity,Recovery Qtrs,Mitigation Lever,Calibration Source
S01,Stress,Cedi devaluation -25%,"Cedi drops 25% vs USD over 2 quarters",FIN01,pct,-8,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity
S01,Stress,Cedi devaluation -25%,"Cedi drops 25% vs USD over 2 quarters",FIN03,delta,-2,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity
S01,Stress,Cedi devaluation -25%,"Cedi drops 25% vs USD over 2 quarters",OPS04,pct,-15,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity
S01,Stress,Cedi devaluation -25%,"Cedi drops 25% vs USD over 2 quarters",FIN02,pct,-12,3,4,3,Emergency tariff repricing,FY22 analogue 0.32 elasticity
S02,Stress,Inflation resurgence to 25%,"CPI hits 25% due to fiscal slippage",FIN03,delta,-3,3,3,2,Cost optimisation,FY22 inflation impact
S02,Stress,Inflation resurgence to 25%,"CPI hits 25% due to fiscal slippage",FIN01,pct,-4,3,3,2,Cost optimisation,FY22 inflation impact
S02,Stress,Inflation resurgence to 25%,"CPI hits 25% due to fiscal slippage",Opex,delta,18,3,3,2,Cost optimisation,operating leverage
S03,Stress,MoMo e-levy increase to 1.5%,"Govt raises e-levy from 1% to 1.5%",SEG03,pct,-25,3,4,2,Pricing strategy,Q2 2022 e-levy impact
S03,Stress,MoMo e-levy increase to 1.5%,"Govt raises e-levy from 1% to 1.5%",OPS01,pct,-15,3,4,2,Pricing strategy,user decline observed
S03,Stress,MoMo e-levy increase to 1.5%,"Govt raises e-levy from 1% to 1.5%",FIN01,pct,-2,3,4,2,Pricing strategy,indirect revenue loss
S04,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",Dividend,abs,-50,2,4,6,Repatriation planning,FY22 dividend freeze
S04,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,15,2,4,6,Repatriation planning,FY22 working capital impact
S05,Stress,ECG tariff +40%,"Power utility raises tariffs 40%",Opex,pct,12,3,3,1,Energy efficiency,FY23 tariff hike
S05,Stress,ECG tariff +40%,"Power utility raises tariffs 40%",FIN03,delta,-2,3,3,1,Energy efficiency,pass-through cost
