Scenario ID,Name,Type,Severity Multiplier,Trigger Phrase(s),Cedi/USD shock (%),Inflation shock (pp),Policy rate shock (bps),GDP shock (pp),Service Revenue (% chg),EBITDA margin (bps chg),ARPU USD (% chg),MoMo Revenue (% chg),Subscribers (% chg),Net debt/EBITDA (x chg),Pillar
S01,Cedi devaluation -25%,Stress,1.0,"Cedi drops 25% vs USD over 2 quarters",25,5,200,-1.5,-8,-200,-15,2,-1.5,0.8,Macro & FX
S02,Inflation resurgence to 25%,Stress,1.0,"CPI hits 25% due to fiscal slippage",5,20,300,-1,-4,-120,5,2,-1,0.5,Macro & FX
S03,MoMo e-levy increase to 1.5%,Stress,1.0,"Govt raises e-levy from 1% to 1.5%",0,0,0,0,-2,-50,0,-25,-15,0.2,Regulatory
S04,Sovereign debt freeze,Stress,1.0,"IMF programme stalls, donors cut aid",15,10,500,-2.5,-6,-180,-3,-8,-2,0.8,Regulatory
S05,ECG tariff +40%,Stress,1.0,"Power utility raises tariffs 40%",0,3,0,0,-0.5,-20,0,-1,-0.2,0.03,Operational
S06,Major cyber breach - 5-day MoMo outage,Shock,1.0,"Ransomware locks MoMo platform for 5 days",0,0,0,0,-1.5,-60,0,-12,-3,0.1,Technology
S07,Spectrum dispute - 4G degradation,Shock,1.0,"Regulator forces spectrum reallocation, 4G speeds drop",0,0,0,0,-6,-150,-4,-2,-1.5,0.25,Technology
S08,Major flood - 300+ sites down,Shock,1.0,"Heavy rains damage 300 cell sites across south",0,0,0,-0.5,-2,-80,-1,-1,-0.5,0.07,Operational
S09,Mass data privacy breach,Shock,1.0,"Customer data of 5M users leaked online",0,0,0,0,-1,-50,-1,-5,-2,0.05,Technology
S10,Competitive intensification (ARPU pressure),Shock,1.0,"Price war cuts data tariffs 30% across market",0,0,0,0,-6,-120,-12,-6,-2.5,0.1,Competitive
S11,Ghana macro reversal,Combined,1.0,"IMF suspension, cedi collapse, inflation spike",20,15,800,-3,-12,-250,-8,-5,-3,0.8,Combined
S12,Fintech disruption + regulatory pressure,Combined,1.0,"Bank-led wallets capture MoMo share + e-levy hike",0,0,0,0,-4,-150,-2,-30,-8,0.3,Combined
S13,Network crisis + climate compound,Combined,1.0,"Major outage + flooding + diesel shortage",0,8,0,-1.5,-6,-200,-3,-10,-4,0.25,Combined
S14,Reverse-FY25 - all tailwinds vanish,Combined,1.0,"Cedi weakens, inflation rises, regulatory crackdown",15,12,400,-2,-5,-300,-8,-5,-2,0.5,Combined
S15,Cedi devaluation -40% (severe),Stress,1.0,"Cedi plummets 40% in 3 months, BoG intervenes",40,8,600,-2,-14,-400,-25,3,-3,1.2,Macro & FX
S16,Hyperinflation return - 50%+,Stress,1.0,"Inflation exceeds 50%, currency crisis deepens",25,45,1000,-3,-12,-600,-20,5,-5,1.5,Macro & FX
S17,BoG emergency rate hike to 35%,Stress,1.0,"MPC hikes policy rate to 35% in emergency meeting",8,5,700,-1,-2,-100,-1,0,-0.5,0.15,Macro & FX
S18,Ghana sovereign downgrade to junk,Stress,1.0,"Moody's cuts Ghana to Caa1, foreign debt payments frozen",10,6,500,-1.5,-3,-150,-2,-2,-1,0.4,Macro & FX
S19,Cedi appreciation +30%,Upside,1.0,"Cedi strengthens 30% on oil windfall and IMF inflows",-30,-3,-200,2,10,100,30,-5,1.5,-0.2,Macro & FX
S20,IMF conditionality tightening,Stress,1.0,"IMF demands higher tariffs, spending cuts",0,2,100,-1,-2,-60,-1,-2,-0.5,0.08,Macro & FX
S21,Cocoa/commodity crash - fiscal squeeze,Stress,1.0,"Cocoa prices fall 40%, export revenues drop",5,2,150,-1.5,-1.5,-40,-1,-8,-0.8,0.1,Macro & FX
S22,Oil price spike - pass-through inflation,Stress,1.0,"Crude oil +50%, diesel +80%",0,8,100,-0.5,-1.5,-80,-1,-2,-0.3,0.05,Operational
S23,BoG FX intervention failure - disorderly devaluation,Shock,1.0,"Cedi hits 18 GHS/USD, BoG runs out of reserves",50,20,1000,-3,-18,-500,-30,4,-4,1.8,Macro & FX
S24,Stagflation trap - GDP 1%, inflation 30%,Combined,1.0,"GDP growth 1%, inflation 30%, policy paralysis",10,25,400,-3.5,-8,-300,-15,3,-2,0.9,Combined
S25,NCA universal service levy increase,Stress,1.0,"Levy raised from 1% to 2% of revenue",0,0,0,0,-1.5,-60,0,-1,-0.5,0.12,Regulatory
S26,Spectrum refarming forced at cost,Stress,1.0,"Refarming 2G/3G to 4G/5G at NCA's cost",0,0,0,0,-2,-80,-1,-2,-0.5,0.15,Regulatory
S27,Parliament social tariff floor,Stress,1.0,"Minimum data price floor removed, intense price war",0,0,0,0,-6,-150,-5,-3,-1,0.25,Regulatory
S28,BoG MoMo interoperability mandate,Stress,1.0,"Compulsory low‑cost interoperability with banks",0,0,0,0,-2,-80,0,-15,-3,0.1,Regulatory
S29,NCA partial licence revocation,Shock,1.0,"NCA revokes MTN's data licence in 2 regions",0,0,0,0,-25,-600,-18,-12,-12,0.9,Regulatory
S30,SIM re-registration 2.0 - 6-month disruption,Shock,1.0,"Mandatory new SIM registration, 6‑month process",0,0,0,0,-3,-100,-2,-10,-8,0.2,Regulatory
